143 11 13 ,187 11 17 ,209 11 19 ,221 13 17 ,247 13 19 ,253 11 23 ,299 13 23 ,319 11 29 ,323 17 19 ,341 11 31 
377 13 29 ,391 17 23 ,403 13 31 ,407 11 37 ,437 19 23 ,451 11 41 ,473 11 43 ,481 13 37 ,493 17 29 ,517 11 47 
527 17 31 ,533 13 41 ,551 19 29 ,559 13 43 ,583 11 53 ,589 19 31 ,611 13 47 ,629 17 37 ,649 11 59 ,667 23 29 
671 11 61 ,689 13 53 ,697 17 41 ,703 19 37 ,713 23 31 ,731 17 43 ,737 11 67 ,767 13 59 ,779 19 41 ,781 11 71 
793 13 61 ,799 17 47 ,803 11 73 ,817 19 43 ,851 23 37 ,869 11 79 ,871 13 67 ,893 19 47 ,899 29 31 ,901 17 53 
913 11 83 ,923 13 71 ,943 23 41 ,949 13 73 ,979 11 89 ,989 23 43 ,1003 17 59 ,1007 19 53 ,1027 13 79 ,1037 17 61 
1067 11 97 ,1073 29 37 ,1079 13 83 ,1081 23 47 ,1121 19 59 ,1139 17 67 ,1147 31 37 ,1157 13 89 ,1159 19 61 ,1189 29 41 
1207 17 71 ,1219 23 53 ,1241 17 73 ,1247 29 43 ,1261 13 97 ,1271 31 41 ,1273 19 67 ,1333 31 43 ,1343 17 79 ,1349 19 71 
1357 23 59 ,1363 29 47 ,1387 19 73 ,1403 23 61 ,1411 17 83 ,1457 31 47 ,1501 19 79 ,1513 17 89 ,1517 37 41 ,1537 29 53 
1541 23 67 ,1577 19 83 ,1591 37 43 ,1633 23 71 ,1643 31 53 ,1649 17 97 ,1679 23 73 ,1691 19 89 ,1711 29 59 ,1739 37 47 
1763 41 43 ,1769 29 61 ,1817 23 79 ,1829 31 59 ,1843 19 97 ,1891 31 61 ,1909 23 83 ,1927 41 47 ,1943 29 67 ,1961 37 53 
2021 43 47 ,2047 23 89 ,2059 29 71 ,2077 31 67 ,2117 29 73 ,2173 41 53 ,2183 37 59 ,2201 31 71 ,2231 23 97 ,2257 37 61 
2263 31 73 ,2279 43 53 ,2291 29 79 ,2407 29 83 ,2419 41 59 ,2449 31 79 ,2479 37 67 ,2491 47 53 ,2501 41 61 ,2537 43 59 
2573 31 83 ,2581 29 89 ,2623 43 61 ,2627 37 71 ,2701 37 73 ,2747 41 67 ,2759 31 89 ,2773 47 59 ,2813 29 97 ,2867 47 61 
2881 43 67 ,2911 41 71 ,2923 37 79 ,2993 41 73 ,3007 31 97 ,3053 43 71 ,3071 37 83 ,3127 53 59 ,3139 43 73 ,3149 47 67 
3233 53 61 ,3239 41 79 ,3293 37 89 ,3337 47 71 ,3397 43 79 ,3403 41 83 ,3431 47 73 ,3551 53 67 ,3569 43 83 ,3589 37 97 
3599 59 61 ,3649 41 89 ,3713 47 79 ,3763 53 71 ,3827 43 89 ,3869 53 73 ,3901 47 83 ,3953 59 67 ,3977 41 97 ,4087 61 67 
4171 43 97 ,4183 47 89 ,4187 53 79 ,4189 59 71 ,4307 59 73 ,4331 61 71 ,4399 53 83 ,4453 61 73 ,4559 47 97 ,4661 59 79 
4717 53 89 ,4757 67 71 ,4819 61 79 ,4891 67 73 ,4897 59 83 ,5063 61 83 ,5141 53 97 ,5183 71 73 ,5251 59 89 ,5293 67 79 
5429 61 89 ,5561 67 83 ,5609 71 79 ,5723 59 97 ,5767 73 79 ,5893 71 83 ,5917 61 97 ,5963 67 89 ,6059 73 83 ,6319 71 89 
6497 73 89 ,6499 67 97 ,6557 79 83 ,6887 71 97 ,7031 79 89 ,7081 73 97 ,7387 83 89 ,7663 79 97 ,8051 83 97 ,8633 89 97 
